what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983290606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983292696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983295476
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983333811
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983335031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983340221
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983341946
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301983348716
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1301983351436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983352571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983353556
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983355923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983356838
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301983360263
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301983396998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983397478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983398343
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1301983401243
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301983406640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301983425970
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983430170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983430230
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301983433340
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1301983437645
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301983442982
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301983445582
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1301983448947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983451114
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983452164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983455449
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983456454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983459611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983460256
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301983461136
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1301983477761
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301983502351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983503241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983552676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1301983575626
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1301983576276
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301983577406
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301983581171
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301983581176
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301983583276
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301983583281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983585151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983586466
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1301983586536
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301983586541
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983587671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983588831
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301983589006
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1301983589142
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1301983589142
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1301983589142
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1301983589142
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1301983589145
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1301983589145
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1301983589163
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1301983589163
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1301983589163
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1301983589163
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1301983589178
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1301983589178
